,LOC_id,ISOALPHA,COUNTRYNM,NAME1,Confirmed,Deaths,Recovered,Latitude,Longitude,population,land,risk_Permillion,Max Temp (F),Humidity (%),Cloudiness (%),Wind Speed (m/s),temp_gp,Wind Speed (mph),Log Case,Trans Case,density,density_gp
38,35,CAN,Canada,Quebec / Quebec,24,0,0,52.9399,-73.5491,8694212.0,1409293.743,2.76,-9.13,93,86,11.92,L Temp,26.664324800000003,4.590961241342599,1.5160151470036647,12252698571915.516,H Density
39,38,CAN,Canada,Saskatchewan,2,0,0,52.9399,-106.4509,1173767.0,601098.114,1.7,5.0,50,20,2.24,L Temp,5.010745600000001,1.070389327891398,0.8479969065549501,705549129975.438,M Density
40,41,CYM,Cayman Islands,,1,0,0,19.3133,-81.2546,63891.0,276.57901910000004,15.65,79.0,78,0,11.99,H Temp,26.8209106,0.13750352374993502,3.9772799234999163,17670910.109318104,L Density
41,42,CAF,Central African Republic,,1,0,0,6.6111,20.9394,5408762.0,623275.7391,0.18,79.07,36,100,4.74,H Temp,10.603095600000001,0.13750352374993502,-1.8365012677171204,3371150133165.994,M Density
42,43,CHL,Chile,,74,0,0,-35.6751,-71.543,18842414.0,727775.1319,3.93,49.01,87,0,4.92,M Temp,11.0057448,6.211401637418471,2.0107798387532427,13713040334164.408,H Density
43,49,CHN,China,AnHui,990,6,984,31.8257,117.2264,58114568.0,135653.8058,17.04,77.0,27,0,8.95,H Temp,20.020613,9.951430434379336,4.099295204337775,7883462321622.895,H Density
44,56,CHN,China,BeiJingShi,442,8,353,40.1824,116.4142,27523067.0,16249.21145,16.06,77.0,24,100,6.71,H Temp,15.009867400000001,8.788228924066704,4.01435529297707,447228135435.51715,M Density
45,53,CHN,China,ChongQingShi,576,6,570,30.0572,107.874,26478025.0,82328.61568999999,21.75,66.29,50,0,5.97,M Temp,13.3545318,9.170175447591868,4.4495613746132365,2179899144455.212,M Density
46,59,CHN,China,FuJian,296,1,295,26.0789,117.9874,39785467.0,121890.1803,7.44,60.71,90,100,1.68,M Temp,3.7580592,8.209940680290192,2.9145645234939397,4849457745949.7,M Density
47,67,CHN,China,GanSu,133,2,91,36.0611,103.8343,25353311.0,342884.5109,5.25,53.6,14,81,4.47,M Temp,9.9991218,7.056366761024529,2.4195388915137843,8693257641930.59,H Density
48,45,CHN,China,GuangDong,1360,8,1304,23.3417,113.4244,123253462.0,175780.1449,11.03,73.0,83,75,2.24,H Temp,5.010745600000001,10.409497012755587,3.4763816875672346,21665511409786.645,H Density
49,60,CHN,China,GuangXiZhuangZuZiZhiQu,252,2,243,23.8298,108.7881,46978492.0,236194.6542,5.36,59.45,85,100,2.95,M Temp,6.598973000000001,7.977852307971178,2.4489009511451276,11096068672777.467,H Density
50,64,CHN,China,GuiZhou,146,2,143,26.8154,106.8748,33464714.0,176441.3879,4.36,53.6,66,90,2.24,M Temp,5.010745600000001,7.190812367916136,2.15704371014558,5904560583836.561,M Density
51,63,CHN,China,HaiNan,168,6,160,19.1959,109.7453,9749929.0,33790.83641,17.23,81.77,57,39,4.99,H Temp,11.1623306,7.393175914348805,4.115199749385445,329458255848.1149,M Density
52,58,CHN,China,HeBei,318,6,310,38.0428,114.5149,75210482.0,186245.9337,4.23,80.6,7,25,17.9,H Temp,40.041226,8.313336561652152,2.114367024952,14007646444117.043,H Density
53,46,CHN,China,HeNan,1273,22,1250,33.882,113.61399999999999,94863267.0,164800.6699,13.42,80.51,13,0,10.89,H Temp,24.360276600000002,10.314130029775567,3.7570232465074596,15633529950502.564,H Density
54,55,CHN,China,HeiLongJiang,482,13,453,47.861999999999995,127.7615,39485296.0,398860.9567,12.21,32.27,94,100,7.49,L Temp,16.7546806,8.913188619508889,3.6217588567097327,15749142938142.682,H Density
