LOC_id,ISOALPHA,COUNTRYNM,NAME1,Confirmed,Deaths,Recovered,Latitude,Longitude,population,land,risk_Permillion
156,OMN,Oman,,22,0,9,21.4735,55.9754,4815879,310774.8707,4.57
157,PAK,Pakistan,,53,0,2,30.3753,69.3451,208436570,861726.2888,0.25
158,PAN,Panama,,43,1,0,8.538,-80.7821,4230973,74759.91016,10.16
159,PRY,Paraguay,,6,0,0,-23.4425,-58.4438,7067102,398091.19,0.85
160,PER,Peru,,43,0,0,-9.19,-75.0152,33317103,1284970.031,1.29
161,PHL,Philippines,,140,11,2,12.8797,121.774,108435780,294548.1128,1.29
162,POL,Poland,,119,3,0,51.9194,19.1451,38407271,308073.2065,3.1
163,PRT,Portugal,,245,0,2,39.3999,-8.2245,10163319,91934.3536,24.11
248,PRI,Puerto Rico,,5,0,0,18.2208,-66.5901,3674871,8913.852589,1.36
164,QAT,Qatar,,401,0,4,25.3548,51.1839,2452182,11275.29425,163.53
131,KOR,Republic of Korea,,8162,75,510,35.9078,127.7669,51251482,99405.34597,159.25
145,MDA,Republic of Moldova,,23,0,0,47.4116,28.3699,4020992,33453.15235,5.72
165,REU,Reunion,,7,0,0,-21.1151,55.5364,891863,2525.185444,7.85
166,ROU,Romania,,131,0,9,45.9432,24.9668,18847485,235127.399,6.95
167,RUS,Russian Federation,,63,0,8,61.524,105.3188,142898068,16278876.01,0.44
168,RWA,Rwanda,,1,0,0,-1.9403,29.8739,12996601,23935.90877,0.08
169,LCA,Saint Lucia,,2,0,0,13.9094,-60.9789,191766,618.0929572,10.43
170,VCT,Saint Vincent and the Grenadines,,1,0,0,12.9843,-61.2872,110741,400.3476527,9.03
103,BLM,Saint-Barthelemy,,1,0,0,17.9,-62.8333,11636,24.68903755,85.94
101,MAF,Saint-Martin (French part),,2,0,0,18.0708,-63.0501,46800,50.88299505,42.74
171,SMR,San Marino,,101,5,4,43.9424,12.4578,32473,61.0212697,3110.28
172,SAU,Saudi Arabia,,103,0,1,23.8859,45.0792,34366243,1916976.783,3
173,SEN,Senegal,,24,0,1,14.4974,-14.4524,17487413,196143.0131,1.37
174,SRB,Serbia,,48,0,0,44.0165,21.0059,6641624,76969.72712,7.23
175,SYC,Seychelles,,2,0,0,-4.6796,55.492,98841,496.7206295,20.23
176,SGP,Singapore,,226,0,105,1.3521,103.8198,6006709,666.7783351,37.62
177,SVK,Slovakia,,54,0,0,48.669,19.699,5435313,48826.65907,9.94
178,SVN,Slovenia,,219,1,0,46.1512,14.9955,2075043,20245.91512,105.54
179,ZAF,South Africa,,51,0,0,-30.5595,22.9375,56668550,1220208.105,0.9
180,ESP,Spain,,7798,289,517,40.4637,-3.7492,46193556,504716.1078,168.81
181,LKA,Sri Lanka,,18,0,1,7.8731,80.7718,21157434,65033.64858,0.85
182,SDN,Sudan,,1,1,0,12.8628,30.2176,45308396,1863760.931,0.02
183,SUR,Suriname,,1,0,0,3.9193,-56.0278,564893,145345.2775,1.77
95,SWZ,Swaziland,,1,0,0,-26.5225,31.4659,1366260,17309.27203,0.73
184,SWE,Sweden,,1022,3,1,60.1282,18.6435,10120381,415314.8542,100.98
185,CHE,Switzerland,,2200,14,4,46.8182,8.2275,8654281,38914.37056,254.21
186,TWN,Taiwan,,59,1,20,23.7,121,23402450,36400.98411,2.52
187,THA,Thailand,,114,1,35,15.87,100.9925,68581367,511713.2174,1.66
154,MKD,The former Yugoslav Republic of Macedonia,,14,0,1,41.6086,21.7453,2088375,24453.11151,6.7
188,TGO,Togo,,1,0,0,8.6195,0.8248,8293638,57168.55266,0.12
189,TTO,Trinidad and Tobago,,2,0,0,10.6918,-61.2225,1377749,5183.916585,1.45
190,TUN,Tunisia,,18,0,0,33.8869,9.5375,11835280,154101.6805,1.52
