Province_State,Country_Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude,LOC_id
,Belarus,2020-03-12T08:53:02,12,0,3,53.7098,27.9534,123
South Carolina,US,2020-03-12T21:39:10,12,0,0,33.8569,-80.945,124
,Azerbaijan,2020-03-11T08:13:09,11,0,3,40.1431,47.5769,125
,Brunei,2020-03-11T22:13:12,11,0,0,4.5353,114.7277,126
,Panama,2020-03-12T08:53:02,11,1,0,8.538,-80.7821,127
,Bosnia and Herzegovina,2020-03-12T09:13:26,11,0,0,43.9159,17.6791,128
,Latvia,2020-03-11T13:53:24,10,0,1,56.8796,24.6032,129
Macau,China,2020-03-11T18:52:03,10,0,10,22.1667,113.55,130
District of Columbia,US,2020-03-11T22:53:03,10,0,0,38.8974,-77.0268,131
Nebraska,US,2020-03-12T01:53:03,10,0,0,41.1254,-98.2681,132
Kentucky,US,2020-03-12T23:44:33,10,0,0,37.6681,-84.6701,133
,Colombia,2020-03-11T14:33:04,9,0,0,4.5709,-74.2973,134
South Australia,Australia,2020-03-11T18:52:04,9,0,2,-34.9285,138.6007,135
Western Australia,Australia,2020-03-11T18:52:04,9,1,0,-31.9505,115.8605,136
Arizona,US,2020-03-11T18:52:04,9,0,1,33.7298,-111.4312,137
Quebec,Canada,2020-03-12T01:53:03,9,0,0,52.9399,-73.5491,138
Minnesota,US,2020-03-12T21:39:10,9,0,0,45.6945,-93.9002,139
,Maldives,2020-03-11T09:33:12,8,0,0,3.2028,73.2207,140
South Dakota,US,2020-03-11T22:53:03,8,1,0,44.2998,-99.4388,141
Wisconsin,US,2020-03-12T21:39:10,8,0,1,44.2685,-89.6165,142
,North Macedonia,2020-03-10T10:53:03,7,0,0,41.6086,21.7453,143
,Afghanistan,2020-03-11T10:13:12,7,0,0,33,65,144
,Tunisia,2020-03-11T18:52:03,7,0,0,33.8869,9.5375,145
,Bulgaria,2020-03-11T22:13:12,7,1,0,42.7339,25.4858,146
